¹øÈ£,°³¹æ¼­ºñ½º¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,¿µ¾÷»óÅÂ¸í,»ó¼¼¿µ¾÷»óÅÂ¸í,¼ÒÀçÁö¿ìÆí¹øÈ£,µµ·Î¸í¿ìÆí¹øÈ£,½Ã¼³¸éÀû
197,°ü±¤Ææ¼Ç¾÷,2012-07-17,,Æó¾÷,Æó¾÷,219-833,24764,
198,°ü±¤Ææ¼Ç¾÷,2021-09-17,,Æó¾÷,Æó¾÷,,32160,232.8
199,°ü±¤Ææ¼Ç¾÷,2021-04-26,,Æó¾÷,Æó¾÷,,32160,363.67
200,°ü±¤Ææ¼Ç¾÷,2010-11-18,,Æó¾÷,Æó¾÷,666-803,,95.28
201,°ü±¤Ææ¼Ç¾÷,2010-11-18,,Æó¾÷,Æó¾÷,666-803,,95.28
202,°ü±¤Ææ¼Ç¾÷,2012-10-22,,Æó¾÷,Æó¾÷,666-801,666-801,
203,°ü±¤Ææ¼Ç¾÷,2012-10-23,,Æó¾÷,Æó¾÷,666-933,52236,
204,°ü±¤Ææ¼Ç¾÷,2014-06-05,,Æó¾÷,Æó¾÷,666-922,52232,
205,°ü±¤Ææ¼Ç¾÷,2010-11-18,,Æó¾÷,Æó¾÷,666-803,666-800,92.76
206,°ü±¤Ææ¼Ç¾÷,2007-11-26,,Æó¾÷,Æó¾÷,627-832,50415,147
207,°ü±¤Ææ¼Ç¾÷,2010-03-25,,Æó¾÷,Æó¾÷,627-822,50418,
208,°ü±¤Ææ¼Ç¾÷,2004-12-15,,Æó¾÷,Æó¾÷,656-892,,132.7
209,°ü±¤Ææ¼Ç¾÷,2004-12-15,,Æó¾÷,Æó¾÷,656-892,,141.02
210,°ü±¤Ææ¼Ç¾÷,2004-12-15,,Æó¾÷,Æó¾÷,656-892,,134.92
211,°ü±¤Ææ¼Ç¾÷,2007-01-22,,Æó¾÷,Æó¾÷,656-891,,
212,°ü±¤Ææ¼Ç¾÷,2008-08-06,,Æó¾÷,Æó¾÷,656-833,,1445.99
213,°ü±¤Ææ¼Ç¾÷,2009-02-25,,Æó¾÷,Æó¾÷,656-891,,273.88
214,°ü±¤Ææ¼Ç¾÷,2009-02-25,,Æó¾÷,Æó¾÷,656-891,,341.43
215,°ü±¤Ææ¼Ç¾÷,2009-03-05,,Æó¾÷,Æó¾÷,656-892,,143.82
216,°ü±¤Ææ¼Ç¾÷,2009-06-16,,Æó¾÷,Æó¾÷,656-891,656-891,410.52
217,°ü±¤Ææ¼Ç¾÷,2009-12-30,,Æó¾÷,Æó¾÷,668-854,,385.1
218,°ü±¤Ææ¼Ç¾÷,2010-01-18,,Æó¾÷,Æó¾÷,668-854,,235.91
219,°ü±¤Ææ¼Ç¾÷,2018-09-20,,Æó¾÷,Æó¾÷,,37930,
220,°ü±¤Ææ¼Ç¾÷,2018-09-20,,Æó¾÷,Æó¾÷,,37930,
221,°ü±¤Ææ¼Ç¾÷,2021-03-08,,Æó¾÷,Æó¾÷,,12428,
222,°ü±¤Ææ¼Ç¾÷,2017-12-06,,Æó¾÷,Æó¾÷,,30056,
223,°ü±¤Ææ¼Ç¾÷,2012-04-18,,Æó¾÷,Æó¾÷,472-851,12028,160.67
224,°ü±¤Ææ¼Ç¾÷,2009-05-06,,Æó¾÷,Æó¾÷,477-842,12406,148.25
225,°ü±¤Ææ¼Ç¾÷,2009-05-06,,Æó¾÷,Æó¾÷,477-842,12406,149.42
226,°ü±¤Ææ¼Ç¾÷,2010-03-11,,Æó¾÷,Æó¾÷,477-803,477-803,396.85
227,°ü±¤Ææ¼Ç¾÷,2010-11-19,,Æó¾÷,Æó¾÷,477-842,12406,669.61
228,°ü±¤Ææ¼Ç¾÷,2012-09-28,,Æó¾÷,Æó¾÷,477-812,12457,396.72
229,°ü±¤Ææ¼Ç¾÷,2012-12-10,,Æó¾÷,Æó¾÷,477-833,477-833,428.45
230,°ü±¤Ææ¼Ç¾÷,2014-02-04,,Æó¾÷,Æó¾÷,477-812,12457,271.07
231,°ü±¤Ææ¼Ç¾÷,2014-06-16,,Æó¾÷,Æó¾÷,477-812,12457,364
232,°ü±¤Ææ¼Ç¾÷,2018-07-23,,Æó¾÷,Æó¾÷,,12456,152.78
233,°ü±¤Ææ¼Ç¾÷,2017-05-22,,Æó¾÷,Æó¾÷,,12808,156.4
234,°ü±¤Ææ¼Ç¾÷,2009-07-07,,Æó¾÷,Æó¾÷,390-832,390-824,144.27
235,°ü±¤Ææ¼Ç¾÷,2009-07-07,,Æó¾÷,Æó¾÷,390-832,27215,117.06
236,°ü±¤Ææ¼Ç¾÷,2009-07-07,,Æó¾÷,Æó¾÷,390-832,27215,143.23
237,°ü±¤Ææ¼Ç¾÷,2009-07-07,,Æó¾÷,Æó¾÷,390-832,27215,154.2
238,°ü±¤Ææ¼Ç¾÷,2009-07-07,,Æó¾÷,Æó¾÷,390-832,27215,134.35
239,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
240,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
241,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
242,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
243,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
244,°ü±¤Ææ¼Ç¾÷,2009-07-09,,Æó¾÷,Æó¾÷,390-832,,
245,°ü±¤Ææ¼Ç¾÷,2003-12-03,,Æó¾÷,Æó¾÷,395-821,395-820,153.76
246,°ü±¤Ææ¼Ç¾÷,2004-10-19,,Æó¾÷,Æó¾÷,395-821,395-820,204.42
